date,portfolio_value,nav,daily_return
2016-08-16,109337.79409299055,1.0933779409299054,-0.0019789462107423494
2016-08-17,109853.48608763375,1.0985348608763374,0.004716502641388676
2016-08-18,108827.37258328365,1.0882737258328365,-0.009340745941658457
2016-08-19,107943.56350827699,1.0794356350827699,-0.0081212019919924
2016-08-22,108835.63829533248,1.0883563829533247,0.008264270309985555
2016-08-23,109005.14712873146,1.0900514712873146,0.0015574754377698508
2016-08-24,108348.62154101905,1.0834862154101905,-0.006022886120570781
2016-08-25,108518.42990443455,1.0851842990443454,0.0015672406441389342
2016-08-26,108857.49916781367,1.0885749916781366,0.003124531599634439
2016-08-29,108580.47128578926,1.0858047128578925,-0.00254486722680769
2016-08-30,108729.53335007222,1.0872953335007223,0.00137282572563735
2016-08-31,108729.53333777798,1.0872953333777797,-1.1307177416597369e-10
2016-09-01,108729.53333777552,1.087295333377755,-2.2648549702353193e-14
2016-09-02,108542.57733461299,1.0854257733461299,-0.0017194592621099236
2016-09-05,108731.57010994057,1.0873157010994057,0.0017411856247429025
2016-09-06,108731.52140827765,1.0873152140827764,-4.4790729014643205e-07
2016-09-07,108563.17264258259,1.085631726425826,-0.0015482977108627338
2016-09-08,108413.6215962743,1.084136215962743,-0.0013775485983690272
2016-09-09,108282.83187297411,1.0828283187297412,-0.0012063956666555908
2016-09-12,106360.72281800711,1.063607228180071,-0.01775081997506145
2016-09-13,106565.91120373987,1.0656591120373988,0.0019291744198077776
2016-09-14,106214.54068429429,1.062145406842943,-0.003297213109488717
2016-09-19,106550.62879155608,1.0655062879155608,0.0031642382021945803
2016-09-20,106885.62666708553,1.0688562666708552,0.0031440253270096363
2016-09-21,106885.5931622444,1.068855931622444,-3.134644214197735e-07
2016-09-22,107521.5439472551,1.0752154394725508,0.005949826971024752
2016-09-23,107370.55733646503,1.0737055733646503,-0.001404245188890929
2016-09-26,106735.06621613924,1.0673506621613924,-0.0059186720837666185
2016-09-27,106265.91347230165,1.0626591347230165,-0.00439548838511572
2016-09-28,106568.23223500562,1.0656823223500562,0.0028449269650590026
2016-09-29,106584.28864537108,1.0658428864537108,0.00015066788693696154
2016-09-30,107052.68800578086,1.0705268800578085,0.004394637956146141
2016-10-10,108302.85223336435,1.0830285223336436,0.011678027435574334
2016-10-11,108969.33132403121,1.0896933132403122,0.006153846153846176
2016-10-12,108969.33132403121,1.0896933132403122,0.0
2016-10-13,108969.33132403121,1.0896933132403122,0.0
2016-10-14,108969.33132403121,1.0896933132403122,0.0
2016-10-17,109302.57086936464,1.0930257086936463,0.003058103975535298
2016-10-18,109969.0499600315,1.099690499600315,0.0060975609756097615
2016-10-19,109635.81041469808,1.0963581041469808,-0.003030303030302939
2016-10-20,108969.33132403121,1.0896933132403122,-0.006079027355623157
2016-10-21,109635.81041469808,1.0963581041469808,0.006116207951070374
2016-10-24,109302.57086936464,1.0930257086936463,-0.003039513677811634
2016-10-25,108969.33132403121,1.0896933132403122,-0.0030487804878048808
2016-10-26,108636.09177869778,1.0863609177869777,-0.003058103975535187
2016-10-27,108302.85223336435,1.0830285223336436,-0.0030674846625766694
2016-10-28,108969.33132403121,1.0896933132403122,0.006153846153846176
2016-10-31,108302.85223336435,1.0830285223336436,-0.006116207951070374
2016-11-01,108947.54181588592,1.0894754181588593,0.0059526556247331275
2016-11-02,108642.07708567305,1.0864207708567306,-0.0028037780855036942
2016-11-03,110084.42498244229,1.1008442498244229,0.01327614433983837
